step,ep_reward_mean,policy_loss,value_loss,entropy,approx_kl,clip_frac,lr,sps
8192,-29.7,-0.0039,1.992,1.2611,0.0064,0.082,0.00025,194.0
16384,-13.4,-0.0053,1.8027,1.2717,0.009,0.124,0.000249,196.0
24576,-22.8,-0.008,1.9596,1.2758,0.0084,0.107,0.000249,196.0
32768,-6.7,-0.0087,2.4159,1.2759,0.0098,0.118,0.000248,197.0
40960,-31.7,-0.0075,3.1311,1.2728,0.0088,0.105,0.000248,198.0
49152,-14.1,-0.0078,2.63,1.2756,0.0094,0.131,0.000248,198.0
57344,-8.2,-0.0057,2.4795,1.2747,0.0088,0.118,0.000247,150.0
65536,5.6,-0.0035,3.4094,1.2753,0.0078,0.098,0.000247,154.0
73728,-2.7,-0.0089,3.1638,1.2799,0.0131,0.165,0.000246,157.0
81920,13.9,-0.0041,2.6521,1.2744,0.0119,0.151,0.000246,160.0
88064,-8.3,0.0264,52.3877,1.2762,0.0317,0.323,0.000246,162.0
96256,-11.4,0.0008,1.4096,1.2847,0.0071,0.085,0.000245,164.0
104448,-11.3,-0.0052,1.3197,1.2882,0.0087,0.113,0.000245,145.0
112640,3.8,0.0022,2.2299,1.288,0.0094,0.125,0.000244,148.0
120832,33.7,0.006,5.239,1.2893,0.0249,0.243,0.000244,150.0
129024,52.4,-0.0002,5.3277,1.2914,0.0076,0.101,0.000244,152.0
137216,86.4,0.001,9.6572,1.289,0.0156,0.189,0.000243,154.0
145408,74.5,0.0015,13.1904,1.2841,0.0181,0.204,0.000243,156.0
153600,70.1,0.0109,12.1905,1.2843,0.0233,0.255,0.000242,143.0
161792,108.4,0.002,10.6863,1.2836,0.0108,0.132,0.000242,145.0
167936,21.8,-0.0016,4.7597,1.2811,0.0081,0.101,0.000242,146.0
169984,186.2,0.0095,13.0879,1.2795,0.0203,0.225,0.000242,147.0
176128,93.3,0.0014,5.8205,1.277,0.0091,0.116,0.000241,148.0
184320,66.0,-0.0033,9.1314,1.272,0.0051,0.063,0.000241,150.0
192512,53.8,-0.0007,5.7082,1.2718,0.0061,0.078,0.00024,151.0
200704,94.7,0.0008,4.2048,1.2646,0.0163,0.198,0.00024,152.0
208896,96.9,-0.0027,11.6793,1.2609,0.0088,0.105,0.00024,144.0
217088,115.7,0.001,14.2082,1.2472,0.0092,0.125,0.000239,145.0
223232,-1.2,0.0019,24.9803,1.2439,0.0235,0.182,0.000239,146.0
225280,124.9,0.0136,14.178,1.2439,0.0133,0.131,0.000239,147.0
231424,65.9,0.0036,9.9355,1.2412,0.0074,0.101,0.000239,148.0
233472,166.7,-0.0009,19.4703,1.2393,0.0059,0.077,0.000238,148.0
239616,56.0,0.006,5.0289,1.2315,0.0134,0.163,0.000238,149.0
241664,116.9,0.0017,18.0006,1.2301,0.0128,0.125,0.000238,149.0
247808,67.8,0.0053,21.7877,1.2225,0.0152,0.169,0.000238,150.0
249856,156.7,0.0045,15.1262,1.2204,0.0099,0.127,0.000238,150.0
256000,68.1,0.0065,17.5882,1.2162,0.0143,0.176,0.000237,144.0
264192,20.4,0.007,4.8265,1.2181,0.0191,0.234,0.000237,145.0
272384,94.4,0.0013,13.6821,1.2118,0.0059,0.075,0.000236,146.0
280576,117.5,0.0012,16.0712,1.196,0.0052,0.068,0.000236,147.0
284672,3.4,0.0038,30.0398,1.1917,0.0258,0.159,0.000236,148.0
288768,46.6,0.0092,16.3682,1.187,0.0118,0.13,0.000236,148.0
292864,62.8,-0.0036,7.5408,1.1843,0.0086,0.108,0.000235,149.0
296960,70.0,0.0033,20.4103,1.1806,0.0142,0.176,0.000235,149.0
301056,61.8,0.006,7.6477,1.1776,0.0146,0.183,0.000235,150.0
303104,59.4,0.0064,8.0301,1.1754,0.0136,0.168,0.000235,144.0
305152,163.8,0.0078,21.7277,1.1739,0.0173,0.198,0.000235,144.0
309248,70.8,0.0109,12.9513,1.1713,0.0258,0.213,0.000235,145.0
311296,54.3,0.0012,18.2793,1.1708,0.0112,0.143,0.000235,145.0
313344,131.7,0.0027,24.3722,1.1698,0.0076,0.097,0.000234,145.0
317440,72.0,0.003,6.6321,1.1683,0.0134,0.128,0.000234,146.0
319488,-0.4,0.0086,5.3321,1.1665,0.0243,0.204,0.000234,146.0
321536,98.7,0.0223,26.2528,1.1652,0.0621,0.339,0.000234,146.0
323584,17.0,0.0169,38.4787,1.1649,0.0419,0.37,0.000234,146.0
325632,2.7,0.0332,24.5029,1.1649,0.0564,0.236,0.000234,147.0
327680,66.2,0.0098,14.0271,1.1649,0.023,0.239,0.000234,147.0
329728,53.1,0.0157,16.9022,1.1647,0.0415,0.269,0.000234,147.0
331776,12.0,0.0828,21.0887,1.1646,0.1407,0.408,0.000234,147.0
333824,4.0,0.0142,27.0078,1.1645,0.0287,0.244,0.000233,148.0
335872,12.1,0.0092,6.4287,1.1639,0.0162,0.183,0.000233,148.0
337920,43.8,0.0297,9.9022,1.1613,0.0868,0.351,0.000233,148.0
339968,23.2,0.0041,4.3218,1.1598,0.0111,0.135,0.000233,148.0
342016,-2.0,0.0013,13.1793,1.1568,0.0089,0.115,0.000233,149.0
344064,44.9,0.0136,11.5777,1.1532,0.0291,0.263,0.000233,149.0
348160,59.3,0.0001,20.7184,1.1483,0.0123,0.15,0.000233,149.0
350208,33.7,0.0044,6.4328,1.1445,0.0125,0.126,0.000233,149.0
352256,67.2,0.0111,16.2071,1.1411,0.0259,0.294,0.000232,145.0
354304,0.3,0.0067,21.4156,1.1404,0.0244,0.3,0.000232,145.0
356352,41.3,0.0062,16.9279,1.1395,0.0135,0.141,0.000232,145.0
358400,34.1,0.0011,19.1106,1.1375,0.0136,0.157,0.000232,145.0
360448,47.1,0.002,12.6713,1.1365,0.0068,0.083,0.000232,146.0
362496,30.6,0.0036,13.5222,1.1341,0.0119,0.142,0.000232,146.0
364544,55.3,0.0051,20.5105,1.1336,0.0113,0.14,0.000232,146.0
366592,60.2,0.0016,17.0605,1.1334,0.0171,0.183,0.000232,146.0
368640,37.1,0.0091,24.3562,1.1345,0.0204,0.197,0.000232,146.0
372736,7.7,0.0041,18.9424,1.1357,0.0188,0.186,0.000231,147.0
374784,54.4,0.0027,10.5946,1.1352,0.0112,0.14,0.000231,147.0
376832,25.8,0.0021,14.5714,1.1337,0.0136,0.156,0.000231,147.0
380928,14.1,0.0069,8.5374,1.1321,0.0141,0.167,0.000231,148.0
382976,16.8,0.0038,10.5678,1.1319,0.0096,0.121,0.000231,148.0
385024,44.1,-0.0005,14.9369,1.1314,0.0065,0.083,0.000231,148.0
389120,11.3,0.0071,14.6818,1.132,0.0193,0.199,0.000231,148.0
391168,35.6,-0.0003,17.5513,1.1333,0.0101,0.12,0.000231,149.0
393216,26.8,0.0062,10.7946,1.1317,0.0182,0.19,0.00023,149.0
397312,54.4,0.0171,15.1573,1.1243,0.026,0.208,0.00023,149.0
399360,63.7,0.0154,17.9743,1.1235,0.0198,0.223,0.00023,149.0
401408,50.8,0.0034,10.4281,1.1222,0.0143,0.147,0.00023,150.0
403456,13.4,0.0077,5.7055,1.1187,0.0199,0.202,0.00023,145.0
405504,31.8,0.0162,7.4469,1.117,0.0205,0.227,0.00023,145.0
407552,71.7,0.003,16.8812,1.1153,0.0136,0.166,0.00023,145.0
409600,76.1,0.0026,11.5516,1.1122,0.0111,0.129,0.00023,145.0
411648,17.5,0.0018,7.9641,1.1094,0.0079,0.088,0.00023,145.0
413696,51.4,-0.0018,13.1647,1.1058,0.0103,0.098,0.000229,146.0
415744,62.7,0.0083,22.2077,1.1025,0.0202,0.217,0.000229,146.0
417792,67.1,0.0022,25.1142,1.0997,0.0095,0.113,0.000229,146.0
419840,63.7,0.0113,10.929,1.0975,0.0197,0.193,0.000229,146.0
421888,39.5,0.0536,32.3132,1.0976,0.0922,0.409,0.000229,146.0
423936,81.4,0.0192,18.7778,1.0977,0.0265,0.236,0.000229,147.0
425984,38.8,0.013,29.3769,1.0975,0.0205,0.2,0.000229,147.0
428032,36.2,0.0096,23.3849,1.097,0.0206,0.186,0.000229,147.0
430080,77.1,0.0134,26.3179,1.0955,0.0206,0.202,0.000229,147.0
432128,67.4,0.0069,21.7665,1.0947,0.0213,0.237,0.000228,147.0
434176,29.0,0.0223,7.8621,1.095,0.0442,0.288,0.000228,147.0
436224,80.6,0.0124,22.8224,1.0944,0.0216,0.213,0.000228,148.0
438272,39.1,0.0076,24.4259,1.093,0.0181,0.123,0.000228,148.0
440320,56.4,0.0049,16.9049,1.0936,0.0098,0.104,0.000228,148.0
442368,71.4,0.011,21.6764,1.0942,0.0235,0.211,0.000228,148.0
444416,20.7,0.0148,13.8233,1.0965,0.0434,0.234,0.000228,148.0
446464,5.1,-0.0011,4.4284,1.0948,0.0094,0.113,0.000228,148.0
448512,38.8,0.0148,20.3367,1.0894,0.029,0.29,0.000228,149.0
450560,80.9,0.006,14.3416,1.0869,0.0222,0.209,0.000228,149.0
452608,65.9,0.0014,6.9298,1.0849,0.0116,0.123,0.000227,145.0
454656,98.8,0.0019,20.8568,1.0794,0.0095,0.112,0.000227,145.0
456704,80.1,0.0094,28.0341,1.0751,0.0208,0.208,0.000227,145.0
460800,75.0,0.0005,13.1514,1.072,0.011,0.133,0.000227,145.0
462848,59.1,0.0002,13.3636,1.067,0.0085,0.102,0.000227,145.0
464896,73.5,0.0103,35.3774,1.0638,0.022,0.177,0.000227,146.0
468992,67.2,0.0062,13.3476,1.0537,0.0248,0.221,0.000227,146.0
471040,57.8,0.0055,19.9905,1.0532,0.0226,0.203,0.000227,146.0
473088,77.2,0.0215,15.9869,1.0537,0.0243,0.242,0.000226,146.0
477184,33.3,0.0231,14.0899,1.0536,0.0353,0.302,0.000226,147.0
479232,53.8,0.0048,14.2404,1.053,0.0168,0.186,0.000226,147.0
